dt_ecriture;exercice_comptable;nøpiece;nom_fichier;libelle;type;ttc;tva;ht;mode_rglt;etat_statut;idt_mode_reg;idt_statut;idt_ss_categorie
2019-11-12;2020;Note De Frais N°0857;974-NDF_0857.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-11-13;2020;Note De Frais N°0858;975-NDF_0858.pdf;Le CANON;Restauration;34.54;3.14;31.4;CB PRO;;3;;15
2019-11-14;2020;Note De Frais N°0859;976-NDF_0859.pdf;TOTAL;Carburant Auto;73.78;12.3;61.48;CB PRO;;3;;10
2019-11-16;2020;Note De Frais N°0860;977-NDF_0860.pdf;Garden Wok;Restauration;12.9;1.17;11.73;CB PRO;;3;;15
2019-11-19;2020;Note De Frais N°0861;978-NDF_0861.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-11-21;2020;Note De Frais N°1974493_64;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2019-11-21;2020;Note De Frais N°0862;979-NDF_0862.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-11-23;2020;Note De Frais N°0863;980-NDF_0863.pdf;Garden Wok;Restauration;28.4;2.58;25.82;CB PRO;;3;;15
2019-11-26;2020;Note De Frais N°0864;981-NDF_0864.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-11-28;2020;Note De Frais N°0865;982-NDF_0865.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-11-29;2020;Note De Frais N°0866;983-NDF_0866.pdf;Dragon D'Orient;Restauration;13.9;1.26;12.64;CB PRO;;3;;15
2019-11-30;2020;Note De Frais N°0867;984-NDF_0867.pdf;BP;Carburant Auto;50;8.33;41.67;CB PRO;;3;;10
2019-11-30;2020;Note De Frais N°0868;985-NDF_0868.pdf;Forfait mobile de Novembre 2019;Forfait mobile de Novembre 2019;50;;;VRMT;PAYE;5;1;33
2019-11-30;2020;Note De Frais N°0868_1;985-NDF_0868.pdf;Forfait internet de Novembre  2019;Forfait internet de Novembre  2019;50;;;VRMT;PAYE;5;1;34
2019-11-30;2020;Note De Frais N°0868_2;985-NDF_0868.pdf;EDF de Novembre  2019;EDF de Novembre  2019;50;;;VRMT;PAYE;5;1;32
2019-12-03;2020;Note De Frais N°0869;986-NDF_0869.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-12-05;2020;Note De Frais N°0870;987-NDF_0870.pdf;Baker Street;Restauration;44;4.76;39.24;CB PRO;;3;;15
2019-12-10;2020;Maaf Sante 2019;836-Maaf-Sante-2019.pdf;Maaf Sante 2019;Maaf Sante 2019;59.22;;;VRMT;;5;;18
2019-12-10;2020;Maaf Pro 2019;837-Maaf-Pro-2019.pdf;Maaf Pro 2019;Maaf Pro 2019;191.28;;;VRMT;;5;;18
2019-12-10;2020;Cipav 2019;838-CIPAV-2019.pdf;CIPAV 2019;CIPAV 2019;951.17;;;VRMT;;5;;7
2019-12-08;2020;Note De Frais N°0871;988-NDF_0871.pdf;TOTAL;Carburant Auto;67.43;11.24;11.24;CB PRO;;3;;10
2019-12-10;2020;Note De Frais N°0872;989-NDF_0872.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-12-12;2020;Note De Frais N°0873;990-NDF_0873.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
2019-12-13;2020;Note De Frais N°0874;1000-NDF_0874.pdf;Number Steak house 5;Restauration;37.8;3.85;33.95;CB PRO;;3;;15
2019-11-15;2020;Note De Frais N°0875;1001-NDF_0875.pdf;Number Steak house 5;Restauration;58.8;6.17;52.63;CB PRO;;3;;15
2019-12-16;2020;Note De Frais N°0876;1002-NDF_0876.pdf;ESSO EXPRESS;Carburant Auto;70.51;11.75;58.76;CB PRO;;3;;10
2019-12-20;2020;Note De Frais N°1974493_65;420-NDF_1974493.pdf;Mercedes - LOA;LOA véhicule;414.57;;;VRMT;;5;;9
2019-12-19;2020;Note De Frais N°0877;1003-NDF_0877.pdf;La Table d'Home;Restauration;42;4.08;32;CB PRO;;3;;15
2019-12-21;2020;Note De Frais N°0878;1004-NDF_0878.pdf;Wok Grill Bondy;Restauration;40.9;3.72;37.18;CB PRO;;3;;15
2019-12-28;2020;Note De Frais N°0879;1005-NDF_0879.pdf;Number Steak house 5;Restauration;57;5.93;51.07;CB PRO;;3;;15
2019-12-27;2020;FAC_591219636;FAC_591219636.pdf;Editions ENI;Achat Ouvrages Techniques de formation;147.01;7.66;139.35;CB PRO;;3;;24
2019-12-31;2020;Note de Frais N°0880;1006-NDF_0880.pdf;Pizza Del Arte;Restauration;27.8;3.07;24.73;CB PRO;;3;;15
2019-12-31;2020;Note de Frais N°0881;1007-NDF_0881.pdf;LeClerc;Carburant Auto;65.22;10.87;54.35;CB PRO;;3;;10
2019-12-31;2020;Note De Frais N°0882;1008-NDF_0882.pdf;Forfait mobile de Décembre 2019;Forfait mobile de Décembre 2019;50;;;VRMT;PAYE;5;1;33
2019-12-31;2020;Note De Frais N°0882_1;1008-NDF_0882.pdf;Forfait internet de Décembre  2019;Forfait internet de Décembre  2019;50;;;VRMT;PAYE;5;1;34
2019-12-31;2020;Note De Frais N°0882_2;1008-NDF_0882.pdf;EDF de Décembre  2019;EDF de Décembre  2019;50;;;VRMT;PAYE;5;1;32
2020-01-02;2020;Note De Frais N°0883;1009-NDF_0883.pdf;Nuit de Chine / Garden Wok;Restauration;32.9;3.59;29.31;CB PRO;;3;;15
2020-01-03;2020;Note De Frais N°0884_1;Macif-2020.pdf;MACIF;Assurance Auto;80;;;VRMT;;5;;40
2020-01-07;2020;Note De Frais N°0885;1010-NDF_0885.pdf;La Table d'Home;Restauration;32;3.17;32;CB PRO;;3;;15
